subj,trial,id,f1_l,f2_l,f3_l,f1_r,f2_r,f3_r,resp,rt,n,nd,nc,critical,train
s103,31,73,1,1,0,1,0,1,0.238523268,5.2075,3,2,1,FALSE,TRUE
s103,32,76,1,1,0,0,1,1,0.147985379,5.2149,3,2,1,FALSE,TRUE
s103,33,63,0,1,1,1,0,1,0.087441631,4.0029,3,2,1,FALSE,TRUE
s103,34,51,1,1,1,1,0,0,0.425153458,2.6271,3,2,1,FALSE,TRUE
s103,35,22,0,0,0,0,0,0,0.99837486,5.2288,1,0,1,FALSE,FALSE
s103,36,82,0,1,0,0,0,0,0.783972308,2.7362,2,1,1,FALSE,TRUE
s103,37,23,0,0,0,1,0,1,0.00134734,3.7811,2,2,0,FALSE,FALSE
s103,38,37,1,0,1,1,1,0,0.338503741,4.3407,3,2,1,FALSE,TRUE
s103,39,32,1,0,1,0,0,0,0.000791914,4.7542,2,2,0,FALSE,FALSE
s103,40,83,0,1,0,1,0,1,0.000791914,2.2627,3,3,0,FALSE,FALSE
s103,41,55,1,1,1,1,1,1,0.998930324,4.1477,3,0,3,FALSE,FALSE
s103,42,18,1,0,0,0,1,0,0.002458268,8.4436,2,2,0,FALSE,FALSE
s103,43,14,1,0,0,0,0,1,0.002458268,1.6569,2,2,0,FALSE,FALSE
s103,44,74,1,1,0,0,0,1,0.002458268,19.7243,3,3,0,FALSE,FALSE
